# ticker NDX
# name open high low close volume vwap rsi macd macd_sig macd_hist sma20 sma50 bb_upper bb_lower atr obv stoch_k stoch_d
day_01 28795.02 29031.92 28567.16 28818.84 9895620000 28290.27 71.17 893.39 930.61 -37.21 28202.19 26116.57 30107.39 26296.99 463.99 69069130000 67.54 74.09
day_02 29006.57 29301.28 28919.44 29297.70 9268370000 28402.06 72.69 872.94 919.07 -46.13 28320.21 26203.39 30187.55 26452.88 465.69 78337500000 82.49 74.84
day_03 29150.13 29463.49 29040.04 29357.27 8627780000 28518.13 71.28 851.73 905.60 -53.88 28448.94 26291.24 30222.60 26675.28 472.01 86965280000 85.21 78.41
day_04 29476.29 29663.89 29423.63 29481.64 9265090000 28635.86 73.25 835.32 891.55 -56.23 28557.84 26390.20 30302.64 26813.05 471.17 96230370000 89.25 85.65
day_05 29854.58 30044.49 29753.09 30001.32 9718120000 28767.68 74.27 854.40 884.12 -29.72 28692.62 26502.61 30446.59 26938.66 481.82 105948490000 97.65 90.70
day_06 30081.28 30099.79 29808.89 29973.57 9240640000 28898.23 69.44 857.39 878.77 -21.38 28839.85 26608.98 30497.54 27182.17 460.20 96707850000 92.40 93.10
day_07 30030.63 30263.19 29848.76 30223.89 9224620000 29039.29 72.13 869.94 877.01 -7.06 28991.70 26717.85 30566.17 27417.23 462.26 105932470000 97.68 95.91
day_08 30333.86 30470.03 30210.01 30333.18 11906000000 29188.90 67.22 878.58 877.32 1.26 29135.75 26836.01 30642.88 27628.63 432.91 117838470000 92.81 94.30
day_09 30295.25 30633.55 30241.20 30513.86 10199240000 29317.32 68.17 889.74 879.80 9.94 29275.93 26959.18 30745.89 27805.97 444.56 128037710000 94.21 94.90
day_10 30471.61 30670.11 30372.96 30660.60 9675650000 29451.84 75.14 900.06 883.86 16.20 29426.37 27094.43 30809.78 28042.95 416.35 137713360000 99.55 95.52
day_11 30730.11 30762.20 30441.80 30571.24 9267670000 29564.66 70.33 890.75 885.23 5.52 29554.17 27222.08 30858.66 28249.69 404.69 128445690000 91.30 95.02
day_12 30174.59 30541.43 30092.23 30407.81 8999970000 29647.42 64.21 860.28 880.24 -19.97 29644.61 27350.19 30920.79 28368.42 415.42 119445720000 83.86 91.57
day_13 29992.37 30051.08 28929.88 28957.60 11550140000 29657.10 47.85 710.91 846.38 -135.47 29664.29 27446.08 30881.05 28447.52 478.92 107895580000 17.79 64.31
day_14 29482.19 29697.90 29294.02 29414.26 10077650000 29665.15 54.96 622.21 801.54 -179.33 29673.25 27562.63 30879.30 28467.21 493.76 117973230000 38.59 46.74
day_15 29647.35 29805.30 28196.90 29084.50 12106940000 29650.52 53.03 519.32 745.10 -225.78 29661.44 27681.66 30886.50 28436.39 575.45 105866290000 34.60 30.33
day_16 28893.82 29212.38 28462.92 28508.03 9519620000 29624.09 41.20 386.80 673.44 -286.64 29633.61 27792.75 30938.45 28328.76 594.52 96346670000 12.13 28.44
day_17 28731.16 29506.67 28548.50 29446.18 10101910000 29627.65 50.83 353.41 609.43 -256.02 29637.57 27906.87 30939.48 28335.65 635.60 106448580000 48.70 31.81
day_18 29380.68 29733.89 29220.83 29635.95 10337400000 29630.43 51.42 338.36 555.22 -216.86 29640.35 28019.19 30941.99 28338.71 650.35 116785980000 56.10 38.97
day_19 30289.97 30587.16 30285.63 30543.92 10590270000 29703.05 54.66 395.14 523.20 -128.06 29711.29 28149.16 31048.85 28373.72 678.09 127376250000 91.49 65.43
day_20 30455.49 30560.08 29962.87 29968.13 11132830000 29754.22 49.96 389.19 496.40 -107.21 29759.97 28264.68 31057.97 28461.98 699.97 116243420000 69.05 72.21
day_21 30160.74 30208.94 29604.93 29670.95 11443600000 29795.27 45.69 356.39 468.40 -112.01 29802.58 28374.05 31024.19 28580.96 713.51 104799820000 57.46 72.67
day_22 30261.60 30463.77 30089.35 30406.19 18286150000 29869.98 50.52 385.28 451.77 -66.49 29858.00 28484.11 31083.75 28632.26 751.57 123085970000 86.12 70.88
day_23 30529.99 30642.57 30194.25 30347.08 12844290000 29918.94 48.79 398.81 441.18 -42.37 29907.49 28589.41 31128.03 28686.96 755.57 110241680000 83.82 75.80
day_24 29369.25 29748.72 29276.98 29347.27 14631520000 29899.41 41.55 325.11 417.97 -92.86 29900.78 28674.03 31132.61 28668.94 810.78 95610160000 44.84 71.59
day_25 29328.40 29592.90 28963.10 29220.06 14936190000 29850.15 41.35 253.51 385.07 -131.56 29861.71 28750.76 31129.16 28594.27 832.88 80673970000 41.84 56.83
day_26 29843.89 29843.89 29000.55 29440.32 9870860000 29827.28 43.85 212.10 350.48 -138.38 29835.05 28822.72 31114.96 28555.14 858.90 90544830000 50.84 45.84
day_27 29040.12 29413.80 28890.74 29118.24 16594580000 29761.38 51.19 151.54 310.69 -159.15 29779.77 28881.00 31084.24 28475.30 792.59 73950250000 37.67 43.45
day_28 29310.26 29792.63 28991.52 29774.75 9776230000 29732.59 52.60 154.74 279.50 -124.76 29751.85 28949.83 31030.08 28473.61 796.93 83726480000 64.52 51.01
day_29 29792.93 30328.79 29767.76 30276.35 9809990000 29721.21 58.38 195.50 262.70 -67.20 29739.97 29021.91 30992.55 28487.39 722.12 93536470000 83.20 61.80
day_30 29914.28 30084.78 29787.41 29809.13 9094410000 29685.32 59.30 187.93 247.75 -59.81 29697.40 29086.29 30873.79 28521.00 703.51 84442060000 60.20 69.30
END
