# ticker SPX
# name open high low close volume vwap rsi macd macd_sig macd_hist sma20 sma50 bb_upper bb_lower atr obv stoch_k stoch_d
day_01 5180.20 5210.40 5165.80 5204.30 3421000000 5195.60 52.4 18.20 15.80 2.40 5189.40 5102.30 5310.20 5068.60 28.40 3421000000 58.20 54.10
day_02 5204.30 5228.60 5192.10 5218.90 3284000000 5212.40 53.8 18.60 16.20 2.40 5191.20 5104.80 5312.40 5070.00 27.90 6705000000 61.40 57.30
day_03 5218.90 5245.20 5208.40 5231.60 3156000000 5228.80 55.2 19.10 16.70 2.40 5193.80 5107.20 5314.60 5073.00 27.40 9861000000 63.80 59.80
day_04 5231.60 5248.90 5195.30 5201.40 3398000000 5218.20 52.6 18.40 16.90 1.50 5194.60 5109.40 5315.20 5074.00 28.10 6463000000 54.20 59.80
day_05 5201.40 5219.80 5180.60 5212.70 3512000000 5202.40 53.1 18.20 17.10 1.10 5196.20 5111.60 5316.00 5076.40 28.30 9975000000 56.40 58.10
day_06 5212.70 5251.30 5205.90 5244.80 3287000000 5234.60 56.4 19.20 17.40 1.80 5199.40 5114.20 5318.20 5080.60 27.60 13262000000 66.20 58.90
day_07 5244.80 5268.40 5238.20 5258.30 3142000000 5254.80 58.2 20.10 17.80 2.30 5203.60 5117.00 5320.80 5086.40 26.90 16404000000 70.40 64.30
day_08 5258.30 5271.60 5241.80 5249.10 3384000000 5256.40 57.1 20.40 18.20 2.20 5206.80 5119.60 5322.40 5091.20 27.20 13020000000 67.60 68.10
day_09 5249.10 5262.80 5228.40 5238.60 3421000000 5246.20 55.8 19.80 18.40 1.40 5208.40 5121.80 5322.80 5094.00 27.60 9599000000 62.40 66.80
day_10 5238.60 5255.40 5221.90 5248.20 3298000000 5241.80 56.4 19.60 18.60 1.00 5210.60 5124.20 5323.60 5097.60 27.40 12897000000 64.80 64.90
day_11 5248.20 5284.60 5242.10 5278.40 3187000000 5268.20 59.2 20.80 18.90 1.90 5214.80 5127.00 5326.40 5103.20 26.80 16084000000 72.60 66.60
day_12 5278.40 5296.20 5264.80 5288.60 3342000000 5282.40 60.4 21.60 19.30 2.30 5219.60 5129.80 5329.20 5110.00 26.40 19426000000 74.80 70.70
day_13 5288.60 5301.40 5272.20 5294.80 3284000000 5289.60 61.2 22.20 19.80 2.40 5224.80 5132.60 5332.40 5117.20 26.10 22710000000 76.20 74.50
day_14 5294.80 5308.60 5278.40 5286.20 3421000000 5294.20 60.1 22.00 20.20 1.80 5229.20 5135.20 5334.60 5123.80 26.30 19289000000 72.40 74.50
day_15 5286.20 5298.40 5264.60 5271.80 3512000000 5280.40 58.2 21.20 20.40 0.80 5232.40 5137.60 5335.40 5129.40 26.80 15777000000 64.20 70.90
day_16 5271.80 5288.20 5258.40 5281.60 3298000000 5274.80 59.1 21.00 20.60 0.40 5236.20 5140.20 5336.80 5135.60 26.60 19075000000 67.40 68.00
day_17 5281.60 5312.40 5276.20 5308.20 3187000000 5298.60 61.8 22.20 20.90 1.30 5241.40 5143.00 5339.60 5143.20 26.10 22262000000 74.60 68.70
day_18 5308.20 5328.60 5298.40 5321.40 3342000000 5316.20 63.2 23.10 21.30 1.80 5247.20 5145.80 5343.20 5151.20 25.80 25604000000 78.20 73.40
day_19 5321.40 5338.20 5308.60 5314.80 3421000000 5322.40 62.4 23.40 21.80 1.60 5252.60 5148.40 5346.40 5158.80 25.90 22183000000 75.60 76.10
day_20 5314.80 5326.40 5294.20 5302.60 3512000000 5310.60 60.8 22.60 22.00 0.60 5257.20 5150.80 5348.00 5166.40 26.20 18671000000 68.40 74.10
day_21 5302.60 5318.80 5288.40 5312.40 3284000000 5306.20 61.4 22.40 22.10 0.30 5262.00 5153.40 5349.60 5174.40 26.10 21955000000 70.80 71.60
day_22 5312.40 5341.60 5306.20 5336.80 3156000000 5326.80 63.8 23.60 22.40 1.20 5267.60 5156.20 5352.80 5182.40 25.60 25111000000 77.40 72.20
day_23 5336.80 5358.40 5328.60 5348.20 3342000000 5344.60 65.1 24.40 22.80 1.60 5273.80 5159.00 5356.80 5190.80 25.20 28453000000 80.20 76.10
day_24 5348.20 5362.80 5334.40 5342.60 3421000000 5350.20 64.2 24.20 23.20 1.00 5279.40 5161.60 5360.00 5198.80 25.40 25032000000 77.60 78.40
day_25 5342.60 5354.20 5318.80 5328.40 3512000000 5338.40 62.1 23.40 23.40 0.00 5284.20 5164.00 5362.00 5206.40 25.80 21520000000 70.20 76.00
day_26 5328.40 5348.60 5314.20 5341.80 3284000000 5334.60 63.2 23.20 23.40 -0.20 5289.60 5166.60 5364.40 5214.80 25.60 24804000000 73.40 73.70
day_27 5341.80 5368.40 5336.20 5362.40 3156000000 5354.20 65.4 24.20 23.60 0.60 5295.80 5169.40 5368.00 5223.60 25.10 27960000000 79.60 74.40
day_28 5362.40 5381.20 5354.60 5374.80 3342000000 5369.40 66.8 25.10 23.90 1.20 5302.40 5172.20 5372.00 5232.80 24.80 31302000000 82.40 78.50
day_29 5374.80 5388.60 5361.20 5368.20 3421000000 5376.40 66.1 25.20 24.20 1.00 5308.60 5174.80 5375.20 5242.00 24.90 27881000000 80.40 80.80
day_30 5368.20 5382.40 5351.80 5372.60 3512000000 5368.80 66.4 25.00 24.40 0.60 5314.80 5177.40 5378.00 5251.60 24.80 31393000000 81.20 80.70
