# ticker SPX
# name open high low close volume vwap rsi macd macd_sig macd_hist sma20 sma50 bb_upper bb_lower atr obv stoch_k stoch_d
day_01 7375.75 7395.32 7333.68 7353.61 5441140000 7295.31 66.71 130.60 139.75 -9.14 7289.24 6945.51 7539.39 7039.08 76.37 -5570890000 58.18 67.92
day_02 7369.19 7435.69 7357.46 7432.97 5384150000 7309.31 67.02 127.06 137.21 -10.15 7303.99 6958.54 7551.36 7056.63 75.54 -186740000 75.47 68.59
day_03 7410.78 7465.96 7389.48 7445.72 5440620000 7326.00 66.60 123.86 134.54 -10.68 7320.86 6971.94 7557.85 7083.86 76.46 5253880000 79.18 70.94
day_04 7468.82 7506.32 7463.29 7473.47 4952440000 7339.54 71.05 122.15 132.06 -9.91 7336.28 6987.96 7570.71 7101.84 75.76 10206320000 84.60 79.75
day_05 7511.79 7539.09 7501.10 7519.12 5496060000 7355.80 70.47 123.06 130.26 -7.20 7353.54 7005.70 7588.47 7118.60 75.27 15702380000 91.85 85.21
day_06 7526.01 7530.72 7499.72 7520.36 5524250000 7373.73 64.64 122.47 128.70 -6.23 7372.62 7022.12 7595.80 7149.43 69.63 21226630000 91.40 89.28
day_07 7519.82 7568.72 7508.04 7563.63 5494860000 7394.21 70.76 124.07 127.78 -3.71 7394.00 7039.07 7603.23 7184.77 69.41 26721490000 97.83 93.69
day_08 7579.33 7599.38 7563.55 7580.06 7858290000 7416.60 68.11 125.21 127.26 -2.05 7412.55 7058.17 7618.49 7206.61 67.37 34579780000 92.73 93.99
day_09 7582.29 7617.66 7562.61 7599.96 6583960000 7435.07 68.48 126.27 127.06 -0.79 7431.04 7078.04 7634.41 7227.67 68.10 41163740000 93.77 94.78
day_10 7595.40 7620.90 7582.99 7609.78 5904410000 7454.67 70.71 126.44 126.94 -0.50 7451.50 7100.11 7639.00 7263.99 65.50 47068150000 96.13 94.21
day_11 7605.31 7605.35 7551.22 7553.68 5753860000 7468.55 60.59 120.66 125.68 -5.02 7466.22 7119.56 7635.51 7296.92 63.62 41314290000 76.60 88.83
day_12 7516.54 7598.19 7516.54 7584.31 5398910000 7479.97 58.47 117.20 123.99 -6.79 7477.18 7140.12 7647.29 7307.06 64.25 46713200000 87.26 86.66
day_13 7537.36 7541.81 7368.63 7383.74 5591290000 7483.08 47.93 97.16 118.62 -21.47 7479.51 7155.96 7642.68 7316.34 72.24 41121910000 17.43 60.43
day_14 7440.57 7466.81 7395.13 7405.73 4898180000 7483.67 50.22 82.10 111.32 -29.22 7479.85 7174.53 7642.34 7317.36 72.40 46020090000 25.09 43.26
day_15 7438.66 7483.15 7237.85 7386.65 6006390000 7482.17 52.83 67.84 102.62 -34.78 7478.54 7194.89 7643.70 7313.38 84.96 40013700000 38.85 27.12
day_16 7350.54 7396.56 7265.93 7266.99 5247300000 7476.22 36.72 46.35 91.37 -45.01 7471.84 7213.35 7659.58 7284.11 88.43 34766400000 7.61 23.85
day_17 7287.67 7412.68 7257.33 7394.30 5658920000 7473.73 46.52 39.15 80.92 -41.78 7469.34 7230.67 7659.93 7278.75 94.07 40425320000 40.84 29.10
day_18 7410.85 7456.40 7363.01 7431.46 4950530000 7470.59 47.19 36.02 71.94 -35.93 7465.85 7247.79 7656.54 7275.17 96.41 45375850000 50.54 33.00
day_19 7516.75 7577.92 7516.75 7554.29 5674670000 7477.88 52.13 42.95 66.14 -23.19 7473.14 7267.22 7665.73 7280.55 102.18 51050520000 82.61 58.00
day_20 7548.78 7564.96 7508.68 7511.35 5286210000 7483.10 49.48 44.47 61.81 -17.34 7478.56 7285.21 7668.93 7288.19 103.99 45764310000 71.40 68.19
day_21 7524.50 7532.17 7402.61 7420.10 5883740000 7486.05 42.16 37.88 57.02 -19.15 7481.88 7301.28 7665.26 7298.51 108.91 39880570000 47.58 67.20
day_22 7487.36 7511.07 7468.32 7500.58 9061110000 7489.63 45.94 38.70 53.36 -14.66 7485.26 7315.63 7667.33 7303.20 112.85 48941680000 68.59 62.52
day_23 7500.44 7530.01 7460.01 7472.79 5976740000 7490.81 43.56 36.68 50.02 -13.34 7486.62 7328.59 7667.85 7305.39 113.91 42964940000 61.33 59.17
day_24 7366.51 7424.17 7347.60 7365.46 5640530000 7485.54 38.74 26.13 45.24 -19.12 7481.22 7339.57 7670.36 7292.07 120.15 37324410000 34.72 54.88
day_25 7370.88 7428.06 7336.82 7358.22 5994860000 7477.54 40.57 16.98 39.59 -22.61 7473.17 7349.01 7669.09 7277.25 122.48 31329550000 33.40 43.15
day_26 7404.91 7419.08 7323.50 7357.49 5565760000 7469.90 38.73 9.56 33.58 -24.02 7465.03 7356.81 7666.16 7263.90 123.48 25763790000 35.18 34.44
day_27 7312.74 7392.95 7294.18 7354.02 9105600000 7457.03 48.16 3.36 27.54 -24.18 7454.55 7363.43 7655.89 7253.20 115.13 16658190000 34.16 34.25
day_28 7391.88 7444.32 7348.88 7440.43 5794570000 7448.17 51.99 5.36 23.10 -17.74 7447.57 7371.41 7640.08 7255.06 116.01 22452760000 59.57 42.97
day_29 7441.27 7508.29 7438.04 7499.36 6037540000 7442.39 56.17 11.57 20.80 -9.23 7442.54 7378.88 7623.17 7261.90 103.51 28490300000 75.50 56.41
day_30 7478.84 7521.81 7449.63 7483.23 5782730000 7436.09 63.35 15.01 19.64 -4.63 7436.21 7386.36 7600.28 7272.13 99.33 22707570000 70.46 68.51
END
