# name int_rev debt_gdp usd_reserve_share cbo_deficit xdate sahm tail_risk liq_gap ofr hy_spread dxy_mom oil_price ai_capex lagged_ai geopolitical_risk investor_sentiment infl unemp gdp
day_01 3.153 122.594 57.000 5.769 38.200 0.100 0.788 0.500 -0.504 2.710 119.036 97.470 0.881 0.881 0.500 0.448 333.979 4.300 2.100
day_02 3.153 122.594 57.000 5.769 38.400 0.100 0.803 0.500 -0.504 2.750 119.385 99.760 0.881 0.881 0.500 0.448 333.979 4.300 2.100
day_03 3.153 122.594 57.000 5.769 38.200 0.100 0.770 0.500 -0.504 2.740 119.362 96.830 0.881 0.881 0.500 0.448 333.979 4.300 2.100
day_04 3.153 122.594 57.000 5.769 38.800 0.100 1.076 0.500 -0.504 2.760 120.083 94.320 0.881 0.881 0.500 0.448 333.979 4.300 2.100
day_05 3.153 122.594 57.000 5.769 38.800 0.100 1.076 0.500 -0.504 2.760 120.083 94.320 0.881 0.881 0.500 0.448 333.979 4.300 2.100
day_06 3.153 122.594 57.000 5.769 38.800 0.100 1.076 0.500 -0.504 2.760 120.083 94.320 0.881 0.881 0.500 0.448 333.979 4.300 2.100
day_07 3.153 122.594 57.000 5.769 38.500 0.100 0.946 0.500 -0.504 2.750 120.034 95.000 0.881 0.881 0.500 0.448 333.979 4.300 2.100
day_08 3.153 122.594 57.000 5.769 39.000 0.100 0.994 0.500 -0.504 2.780 119.962 91.900 0.881 0.881 0.500 0.448 333.979 4.300 2.100
day_09 3.153 122.594 57.000 5.769 39.000 0.100 1.111 0.500 -0.504 2.800 119.913 93.680 0.881 0.881 0.500 0.448 333.979 4.300 2.100
day_10 3.153 122.594 57.000 5.769 38.500 0.100 0.972 0.500 -0.504 2.780 120.117 91.580 0.881 0.881 0.500 0.448 333.979 4.300 2.100
day_11 3.153 122.594 57.000 5.769 38.600 0.100 0.884 0.500 -0.503 2.710 119.507 88.620 0.881 0.881 0.500 0.448 333.979 4.300 2.100
day_12 3.153 122.594 57.000 5.769 38.600 0.100 0.884 0.500 -0.503 2.710 119.507 88.620 0.881 0.881 0.500 0.448 333.979 4.300 2.100
day_13 3.153 122.594 57.000 5.769 38.600 0.100 0.884 0.500 -0.503 2.710 119.507 88.620 0.881 0.881 0.500 0.448 333.979 4.300 2.100
day_14 3.153 122.594 57.000 5.769 38.400 0.100 0.810 0.500 -0.503 2.660 119.316 84.650 0.881 0.881 0.500 0.448 333.979 4.300 2.100
day_15 3.153 122.594 57.000 5.769 38.400 0.100 0.821 0.500 -0.503 2.710 119.256 79.800 0.881 0.881 0.500 0.448 333.979 4.300 2.100
day_16 3.153 122.594 57.000 5.769 39.800 0.100 0.922 0.500 -0.503 2.630 119.387 80.650 0.881 0.881 0.500 0.448 333.979 4.300 2.100
day_17 3.153 122.594 57.000 5.769 40.000 0.100 0.820 0.500 -0.503 2.660 120.396 80.350 0.881 0.881 0.500 0.448 333.979 4.300 2.100
day_18 3.153 122.594 57.000 5.769 40.000 0.100 0.839 0.500 -0.503 2.660 120.396 80.350 0.881 0.881 0.500 0.448 333.979 4.300 2.100
day_19 3.153 122.594 57.000 5.769 40.000 0.100 0.839 0.500 -0.503 2.660 120.396 80.350 0.881 0.881 0.500 0.448 333.979 4.300 2.100
day_20 3.153 122.594 57.000 5.769 40.000 0.100 0.839 0.500 -0.503 2.660 120.396 80.350 0.881 0.881 0.500 0.448 333.979 4.300 2.100
day_21 3.153 122.594 57.000 5.769 40.400 0.100 0.864 0.500 -0.503 2.650 120.546 78.940 0.881 0.881 0.500 0.448 333.979 4.300 2.100
day_22 3.153 122.594 57.000 5.769 40.100 0.100 0.974 0.500 -0.503 2.710 121.055 74.620 0.881 0.881 0.500 0.448 333.979 4.300 2.100
day_23 3.153 122.594 57.000 5.769 39.900 0.100 0.931 0.500 -0.503 2.760 121.412 71.420 0.881 0.881 0.500 0.448 333.979 4.300 2.100
day_24 3.153 122.594 57.000 5.769 39.600 0.100 0.945 0.500 -0.503 2.780 121.056 72.670 0.881 0.881 0.500 0.448 333.979 4.300 2.100
day_25 3.153 122.594 57.000 5.769 39.400 0.100 0.921 0.500 -0.504 2.830 120.887 70.300 0.881 0.881 0.500 0.448 333.979 4.300 2.100
day_26 3.153 122.594 57.000 5.769 39.400 0.100 0.921 0.500 -0.504 2.830 120.887 70.300 0.881 0.881 0.500 0.448 333.979 4.300 2.100
day_27 3.153 122.594 57.000 5.769 39.400 0.100 0.921 0.500 -0.504 2.830 120.887 70.300 0.881 0.881 0.500 0.448 333.979 4.300 2.100
day_28 3.153 122.594 57.000 5.769 39.700 0.100 0.882 0.500 -0.504 2.800 120.887 71.870 0.881 0.881 0.500 0.448 333.979 4.300 2.100
day_29 3.153 122.594 57.000 5.769 39.800 0.100 0.823 0.500 -0.504 2.750 120.887 71.870 0.881 0.881 0.500 0.448 333.979 4.300 2.100
day_30 3.153 122.594 57.000 5.769 39.800 0.100 0.823 0.500 -0.504 2.750 120.887 71.870 0.881 0.881 0.500 0.448 333.979 4.300 2.100
END
